Producto_JS,Match_Excel,Marca,PrecioUSD,Similaridad,PrecioARS
"Monitor LG 27GP750-B Gaming 27\" Full HD 240Hz","Monitor Gaming LG 27 pulgadas Full HD 240Hz 1ms",LG,1200,0.95,507500
"iPhone 15 Pro 128GB Titanio Natural","iPhone 15 Pro 128GB Titanio Natural",Apple,999,0.98,850000
"Samsung Galaxy S24 Ultra 256GB","Smartphone Samsung Galaxy S24 Ultra 256GB",Samsung,1199,0.97,1200000
"MacBook Air M2 13\" 256GB","Laptop Apple MacBook Air M2 13 pulgadas 256GB",Apple,1099,0.96,1100000
"AirPods Pro 2da Generación","Auriculares Apple AirPods Pro 2da generación",Apple,249,0.94,180000
"iPad Air 5ta Generación 64GB","Tablet Apple iPad Air 5ta generación 64GB",Apple,599,0.93,450000
"Teclado Mecánico Logitech G915","Teclado mecánico inalámbrico Logitech G915",Logitech,199,0.92,150000
"Mouse Gaming Razer DeathAdder V3","Mouse gaming Razer DeathAdder V3 Pro",Razer,159,0.91,120000
"SSD Samsung 970 EVO Plus 1TB","Disco sólido Samsung 970 EVO Plus 1TB",Samsung,89,0.90,65000
"Impresora HP LaserJet Pro M404n","Impresora láser HP LaserJet Pro M404n",HP,299,0.89,220000
"Router TP-Link Archer C7","Router WiFi TP-Link Archer C7 AC1750",TP-Link,79,0.88,55000
"Parlante JBL Flip 6","Parlante portátil JBL Flip 6 Bluetooth",JBL,129,0.87,95000
"Webcam Logitech C920 HD","Webcam Logitech C920 HD Pro 1080p",Logitech,69,0.86,45000
"Fuente EVGA 650W 80 Plus Gold","Fuente de poder EVGA 650W 80 Plus Gold",EVGA,89,0.85,65000
"Memoria RAM Kingston Fury 16GB","Memoria RAM Kingston Fury Beast 16GB DDR4",Kingston,59,0.84,35000
"Placa de Video RTX 4060 Ti","Placa de video NVIDIA RTX 4060 Ti 8GB",NVIDIA,399,0.83,280000
"Monitor Samsung Odyssey G7 32\"","Monitor Gaming Samsung Odyssey G7 32 pulgadas",Samsung,699,0.82,450000
"Smart TV LG OLED 55\" C3","Smart TV LG OLED 55 pulgadas C3 Series",LG,1499,0.81,1200000
"Consola PlayStation 5","Consola Sony PlayStation 5 Digital Edition",Sony,399,0.80,280000
"Xbox Series X","Consola Microsoft Xbox Series X",Microsoft,499,0.79,350000
